Product,Region,Month,Units,Revenue
Monitor,North,12,96,28800
Mouse,South,10,4,200
Webcam,Central,7,72,5040
Keyboard,East,8,52,4160
Printer,South,12,97,9700
Smartphone,South,2,52,41600
Webcam,Central,11,42,2940
Webcam,South,8,57,3990
Keyboard,West,11,4,320
Laptop,West,11,78,93600
Laptop,North,10,92,110400
Keyboard,North,3,31,2480
Smartphone,Central,12,64,51200
Mouse,East,10,46,2300
Speakers,East,9,5,600
Webcam,South,5,48,3360
Headphones,West,1,34,5100
Headphones,South,2,42,6300
Mouse,North,7,4,200
Monitor,West,6,89,26700
Speakers,East,3,3,360
Keyboard,South,1,7,560
Keyboard,South,9,26,2080
Monitor,North,9,13,3900
Webcam,Central,6,16,1120
Headphones,South,3,45,6750
Printer,Central,9,56,5600
Keyboard,East,6,22,1760
Speakers,West,6,33,3960
Monitor,East,3,5,1500
Webcam,North,3,54,3780
Keyboard,East,5,75,6000
Monitor,South,12,10,3000
Webcam,West,10,98,6860
Keyboard,Central,10,12,960
Monitor,East,11,69,20700
Mouse,North,12,90,4500
Keyboard,North,4,59,4720
Speakers,East,8,83,9960
Monitor,South,4,66,19800
Headphones,East,5,93,13950
Speakers,Central,4,5,600
Keyboard,West,1,26,2080
Mouse,Central,10,36,1800
Webcam,North,4,83,5810
Webcam,North,10,27,1890
Tablet,South,7,84,42000
Webcam,South,12,62,4340
Laptop,Central,6,13,15600
Speakers,West,2,54,6480
Mouse,South,1,87,4350
Tablet,North,5,69,34500
Smartphone,West,9,57,45600
Keyboard,East,6,74,5920
Laptop,West,2,42,50400
Smartphone,East,2,9,7200
Monitor,East,5,62,18600
Laptop,South,12,72,86400
Keyboard,Central,6,5,400
Smartphone,Central,11,2,1600
Monitor,Central,9,52,15600
Speakers,East,2,18,2160
Webcam,East,6,81,5670
Laptop,North,8,97,116400
Smartphone,Central,2,81,64800
Monitor,North,7,44,13200
Keyboard,North,10,16,1280
Tablet,West,7,39,19500
Tablet,East,6,80,40000
Monitor,Central,10,5,1500
Printer,East,11,90,9000
Monitor,Central,4,30,9000
Keyboard,East,11,7,560
Headphones,West,4,61,9150
Monitor,West,1,99,29700
Keyboard,North,7,78,6240
Keyboard,North,3,32,2560
Tablet,South,1,59,29500
Speakers,North,7,71,8520
Headphones,Central,3,20,3000
Speakers,North,5,82,9840
Tablet,East,7,41,20500
Webcam,East,5,1,70
Tablet,Central,2,29,14500
Laptop,South,4,83,99600
Printer,East,8,82,8200
Printer,South,10,32,3200
Printer,Central,11,100,10000
Webcam,East,7,13,910
Mouse,East,7,93,4650
Monitor,North,12,81,24300
Tablet,East,5,1,500
Smartphone,North,6,8,6400
Keyboard,South,2,86,6880
Tablet,Central,12,50,25000
Headphones,South,8,73,10950
Speakers,Central,12,75,9000
Mouse,West,12,73,3650
Monitor,Central,1,45,13500
Monitor,Central,12,95,28500
